book,total_count,volume_1_count,volume_2_count,volume_3_count,volume_4_count,volume_5_count,volume_6_count,volume_7_count,volume_8_count,volume_9_count
Gen,860,164,64,137,126,115,52,60,93,49
Exod,534,84,53,92,59,60,44,64,34,44
Lev,133,7,23,21,25,13,9,23,5,7
Num,172,42,12,16,11,20,12,33,11,15
Deut,410,64,60,59,47,47,15,56,41,21
Josh,53,9,1,4,1,9,2,12,8,7
Judg,34,7,5,4,3,3,3,2,5,2
Ruth,0,0,0,0,0,0,0,0,0,0
1Sam,104,14,8,20,14,16,4,14,11,3
2Sam,43,7,2,11,4,2,6,7,1,3
1Kgs,114,15,7,15,19,12,5,17,6,18
2Kgs,71,5,4,20,7,6,4,12,4,9
1Chr,19,1,0,0,3,2,0,5,2,6
2Chr,22,3,1,1,1,4,0,10,2,0
Ezra,3,0,0,0,0,0,0,2,0,1
Neh,6,0,1,0,0,1,0,4,0,0
Tob,33,2,3,1,5,12,1,4,5,0
Jdt,11,2,1,0,0,0,0,3,1,4
Esth,5,1,0,1,0,0,0,1,1,1
AddEsth,0,0,0,0,0,0,0,0,0,0
1Macc,11,0,0,2,0,6,0,2,1,0
2Macc,16,0,1,1,1,9,1,0,2,1
Job,113,15,17,5,22,15,11,9,5,14
Ps,1514,210,189,225,182,235,91,143,116,123
Prov,459,42,156,21,25,85,15,66,23,26
Eccl,82,1,5,3,11,8,32,9,9,4
Song,30,3,0,1,3,9,8,1,3,2
Wis,106,5,23,4,17,22,16,4,11,4
Sir,156,2,56,0,8,37,15,14,20,4
Isa,1328,278,132,330,95,209,63,93,42,86
Jer,348,66,50,43,29,68,18,40,16,18
Lam,25,2,2,3,5,4,2,1,4,2
Bar,18,2,4,1,0,4,3,3,1,0
EpJer,0,0,0,0,0,0,0,0,0,0
Ezek,204,27,23,22,33,39,8,26,9,17
Dan,195,32,13,34,21,42,8,27,11,7
AddDan,0,0,0,0,0,0,0,0,0,0
PrAzar,0,0,0,0,0,0,0,0,0,0
Sus,8,2,0,1,2,0,0,2,1,0
Bel,3,0,0,1,1,0,0,0,1,0
Hos,86,12,10,12,7,15,0,9,12,9
Joel,35,4,3,12,2,7,3,2,1,1
Amos,43,6,6,14,3,5,4,3,0,2
Obad,0,0,0,0,0,0,0,0,0,0
Jonah,21,7,1,4,3,0,1,4,0,1
Mic,36,5,3,4,7,10,1,2,4,0
Nah,6,0,1,2,0,1,0,2,0,0
Hab,31,7,4,5,2,5,3,1,3,1
Zeph,9,1,1,0,1,6,0,0,0,0
Hag,10,1,2,1,3,2,0,1,0,0
Zech,100,23,6,23,7,10,3,20,3,5
Mal,76,13,7,8,4,17,3,15,2,7
Matt,3241,330,265,320,258,279,149,207,268,1165
Mark,614,29,32,19,14,26,14,29,23,428
Luke,2223,192,133,432,76,123,75,97,92,1003
John,2115,165,96,226,125,248,112,80,59,1004
Acts,488,79,37,83,53,74,25,64,50,23
Rom,780,113,134,134,125,74,56,28,46,70
1Cor,1268,151,190,260,259,117,87,51,45,108
2Cor,380,41,56,74,63,32,43,16,21,34
Gal,328,49,39,95,44,42,16,11,13,19
Eph,386,58,61,72,55,50,24,27,15,24
Phil,199,33,22,32,29,31,15,10,11,16
Col,192,27,26,33,22,30,10,17,9,18
1Thess,86,8,14,24,13,7,7,4,4,5
2Thess,76,14,5,14,10,10,0,11,4,8
1Tim,249,33,40,33,35,33,19,24,14,18
2Tim,127,22,11,22,19,18,8,11,12,4
Titus,63,11,12,9,6,9,5,3,0,8
Phlm,4,1,1,0,0,0,0,2,0,0
Heb,239,29,45,20,46,16,24,27,8,24
Jas,80,15,25,4,4,3,5,7,11,6
1Pet,207,47,54,15,16,23,6,24,9,13
2Pet,59,10,2,2,5,16,1,2,0,21
1John,189,11,58,28,29,39,9,5,0,10
2John,7,3,2,0,0,1,1,0,0,0
3John,2,1,0,1,0,0,0,0,0,0
Jude,41,3,24,0,4,5,0,0,1,4
Rev,334,46,29,58,25,94,16,24,24,18
